# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
114000 -172.28 173.661 264.751 277.445 283.648 292.886 293.408 303.663 310.965 312.425 323.987 336.849
115000 -173.806 176.254 264.733 277.84 282.656 291.927 293.267 303.737 312.137 312.153 325.285 334.451
116000 -175.08 179.245 263.441 277.061 283.361 290.796 294.259 302.779 313.611 313.539 324.339 333.227
117000 -175.106 180.996 262.705 276.266 284.568 291.183 292.914 303.889 312.444 314.074 323.872 334.176
118000 -177.498 180.821 264.089 275.32 286.193 289.515 292.188 305.498 310.607 315.499 323.497 335.305
119000 -178.715 181.444 264.308 274.171 286.541 290.215 292.003 306.459 310.109 313.685 326.712 333.527
120000 -178.059 182.956 265.209 273.694 284.346 290.532 294.481 304.112 309.562 314.027 326.663 334.127
121000 -179.164 184.852 266.428 274.287 282.82 289.486 296.273 303.441 309.558 315.27 325.19 336.058
122000 -185.303 185.894 265.812 275.118 282.137 289.806 295.637 303.739 308.555 315.081 324.753 337.082
123000 -183.596 188.432 264.221 275.165 282.237 290.853 294.918 304.913 307.503 315.479 323.442 338.087
124000 -185.769 189.088 264.724 274.517 282.369 290.147 296.82 301.727 310.131 314.729 324.331 337.903
125000 -187.321 191.01 264.117 274.337 282.417 289.731 297.944 300.939 310.377 315.983 324.1 336.139
126000 -186.949 190.478 265.199 273.701 281.801 288.869 298.672 300.905 310.791 315.976 325.347 336.372
127000 -188.735 191.793 266.182 274.748 279.328 289.897 298.313 300.03 311.701 315.321 325.892 336.737
128000 -190.611 194.592 265.509 274.722 279.792 289.966 296.75 301.149 312.121 314.227 327.188 335.903
129000 -191.945 194.394 264.272 274.315 279.58 291.045 296.62 302.629 310.997 315.842 325.811 335.772
130000 -191.654 198.007 263.12 274.966 279.224 290.163 296.72 305.113 308.136 318.123 325.349 334.692
131000 -191.877 198.084 263.329 275.027 277.918 291.254 296.718 304.669 307.825 318.206 325.773 334.533
132000 -193.837 200.361 262.845 273.487 278.161 291.966 296.727 303.046 311.139 315.879 326.914 334.121
133000 -192.526 203.417 262.539 272.333 278.496 292.607 296.591 302.349 312.074 315.195 325.925 333.586
134000 -194.355 204.09 263.043 271.126 280.503 292.263 296.433 303.726 310.167 314.573 326.584 334.054
135000 -194.729 205.447 262.16 271.109 280.495 293.305 296.011 304.677 308.897 314.774 326.547 333.615
136000 -197.733 207.75 260.706 271.328 279.914 292.692 296.476 304.444 308.507 316.336 326.531 333.268
137000 -198.187 208.339 260.253 271.89 278.923 293.829 296.749 302.845 309.089 316.234 327.606 333.237
138000 -197.483 210.661 261.991 270.153 280.066 292.518 298.078 302.745 308.46 315.21 330.042 330.113
139000 -196.158 211.106 261.382 270.414 280.563 291.166 298.075 301.984 308.568 314.833 329.982 330.842
140000 -198.535 212.289 261.783 270.708 280.464 290.531 298.546 301.739 309.721 313.671 330.229 332.032
141000 -201.488 210.732 262.328 270.2 281.004 291.274 298.36 301.38 311.3 313.376 328.595 333.056
142000 -202.372 211.173 262.942 271.091 280.003 291.611 298.192 299.546 314.258 312.695 327.978 334.009
143000 -203.646 212.645 263.787 271.694 281.116 289.361 298.27 298.694 314.769 313.394 327.156 335.681
144000 -204.02 214.047 264.482 271.113 281.813 289.121 297.205 299.24 315.225 311.732 327.883 335.057
145000 -205.795 214.823 263.144 271.016 282.211 289.247 296.509 301.114 313.393 311.36 328.77 336.191
146000 -206.868 216.344 263.017 270.846 282.422 287.958 298.244 299.833 314.941 310.195 329.619 334.939
147000 -208.418 218.644 262.827 269.845 281.648 288.02 297.923 300.19 315.575 309.833 330.538 335.399
148000 -210.839 221.014 261.69 271.784 281.103 286.419 299.584 299.925 315.033 310.187 331.285 335.547
149000 -213.242 219.915 262.262 271.7 280.286 288.532 298.149 299.993 314.348 311.714 328.578 337.198
150000 -212.071 221.496 262.526 271.515 280.717 288.036 298.019 299.382 313.796 312.842 327.303 337.259
